
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       4.63              3.32              2.78             52.75
2                       6.34              4.17              2.85             23.61
4                       6.48              4.62              4.15             55.12
8                       6.11              4.80              4.17             68.53
16                      4.67              3.33              2.81             52.19
32                      4.45              3.24              2.88             57.86
64                      4.44              3.23              2.79             56.52
128                     5.03              3.51              3.05             50.06
256                     9.08              6.11              5.42             45.06
512                     9.18              6.21              5.48             45.81
1024                    9.32              6.25              5.61             45.35
2048                    9.76              6.66              5.84             46.81
4096                    9.84              6.67              5.99             47.10
8192                   10.77              7.41              6.59             48.94
16384                  12.07              8.49              7.66             53.22
32768                  19.27             13.69             12.48             55.28
65536                  23.55             17.24             15.89             60.26
131072                 32.36             24.60             22.75             65.89
262144                 49.93             39.39             36.66             71.26
