
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.92
2                       5.82
4                       5.74
8                       5.77
16                      5.74
32                      5.75
64                      5.77
128                     6.05
256                    10.13
512                    10.26
1024                   10.47
2048                   10.93
4096                   11.31
8192                    9.98
16384                  12.93
32768                  24.86
65536                  49.06
131072                 68.73
262144                111.49
