
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.78
2                       5.80
4                       5.73
8                       5.72
16                      5.76
32                      5.72
64                      5.74
128                     6.03
256                    10.13
512                    10.23
1024                   10.45
2048                   11.00
4096                   11.32
8192                   10.02
16384                  12.87
32768                  24.82
65536                  49.03
131072                 68.75
262144                111.48
