1416187

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      41.66             31.24             26.83             61.18
2                      29.73             23.83             20.40             71.07
4                      30.53             22.30             19.09             56.92
8                      32.83             21.10             18.05             35.04
16                     32.11             23.38             20.03             56.43
32                     57.37             28.50             24.49              0.00
64                     56.71             30.92             26.58              3.01
128                    56.93             36.84             31.73             36.68
256                    58.69             38.13             32.85             37.42
512                    71.38             45.00             38.81             32.03
1024                  100.23             55.71             48.13              7.51
2048                  132.99            103.34             89.49             66.86
4096                  212.15            130.65            113.22             28.02
8192                  439.08            274.43            238.15             30.86
16384                 671.89            424.78            368.78             32.99
32768                1476.77            733.40            636.90              0.00
65536                3284.08           1925.08           1672.32             18.74
131072               6259.79           3104.29           2696.75              0.00
262144              15994.64          13390.29          11633.77             77.61
