1419514

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      32.59             21.56             18.42             40.13
2                      31.61             24.71             21.16             67.37
4                      28.53             20.82             17.79             56.65
8                      29.47             21.37             18.27             55.65
16                     38.73             26.80             22.99             48.10
32                     41.18             25.91             22.23             31.35
64                     47.47             30.10             25.87             32.85
128                    57.47             36.90             31.78             35.28
256                    57.72             39.42             33.97             46.13
512                    72.44             45.24             39.02             30.28
1024                   93.43             57.23             49.44             26.77
2048                  138.00             96.68             83.71             50.64
4096                  216.55            140.86            122.10             38.01
8192                  411.91            239.89            208.14             17.35
16384                 688.98            409.21            355.23             21.24
32768                1580.95            833.06            723.46              0.00
65536                3266.10           1639.74           1424.30              0.00
131072               6238.84           3333.69           2896.02              0.00
262144              16505.66          13692.43          11895.99             76.35
