1422858

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      30.26             22.53             19.19             59.71
2                      32.07             21.11             18.05             39.33
4                      27.81             21.13             18.08             63.09
8                      27.91             21.04             18.01             61.85
16                     42.43             25.38             21.76             21.58
32                     35.63             26.16             22.44             57.79
64                     44.56             37.61             32.39             78.53
128                    59.30             34.64             29.81             17.28
256                    63.10             37.65             32.43             21.53
512                    67.31             44.96             38.79             42.40
1024                   94.80             55.74             48.15             18.87
2048                  143.53             92.41             80.00             36.10
4096                  215.69            135.19            117.17             31.30
8192                  393.37            233.02            202.16             20.68
16384                 857.22            398.82            346.21              0.00
32768                1448.26            801.61            696.11              7.11
65536                3219.98           1552.72           1348.64              0.00
131072               6411.01           3325.93           2889.24              0.00
262144              16274.68          13539.18          11762.48             76.74
