659121

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.21
2                       6.24
4                       6.25
8                       6.14
16                      6.32
32                      6.80
64                      6.92
128                     6.95
256                     6.98
512                     7.63
1024                    9.39
2048                   10.98
4096                   14.68
8192                   21.99
16384                  46.91
32768                  85.55
65536                 149.59
131072                317.31
262144                664.17
