651102

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.20
2                       6.18
4                       6.21
8                       6.17
16                      6.11
32                      6.67
64                      6.75
128                     6.98
256                     7.25
512                     7.76
1024                    9.31
2048                   11.13
4096                   14.79
8192                   22.28
16384                  46.98
32768                  85.52
65536                 149.39
131072                309.75
262144                659.83
