649677

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.47
2                       6.37
4                       6.25
8                       6.39
16                      6.33
32                      6.60
64                      6.95
128                     7.20
256                     7.44
512                     8.03
1024                    9.64
2048                   11.05
4096                   14.66
8192                   22.19
16384                  46.95
32768                  85.47
65536                 149.29
131072                322.89
262144                665.15
