645744

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.25
2                       6.34
4                       6.35
8                       6.26
16                      6.03
32                      6.82
64                      7.00
128                     7.06
256                     7.30
512                     7.78
1024                    9.27
2048                   11.01
4096                   14.74
8192                   22.03
16384                  46.98
32768                  85.74
65536                 149.66
131072                313.76
262144                656.37
