647706

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.36
2                       6.50
4                       6.43
8                       6.32
16                      6.34
32                      6.66
64                      7.07
128                     7.14
256                     7.40
512                     7.96
1024                    9.63
2048                   10.98
4096                   14.48
8192                   21.83
16384                  46.81
32768                  85.55
65536                 149.74
131072                310.37
262144                672.67
