657787

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.20
2                       6.31
4                       6.26
8                       6.27
16                      6.16
32                      6.69
64                      6.79
128                     7.11
256                     7.14
512                     7.83
1024                    9.28
2048                   11.02
4096                   14.60
8192                   21.99
16384                  47.08
32768                  85.55
65536                 149.47
131072                319.06
262144                671.42
