655015

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.43
2                       6.37
4                       6.50
8                       7.10
16                      6.23
32                      7.03
64                      7.87
128                     7.83
256                     8.01
512                     8.76
1024                    9.90
2048                   11.04
4096                   14.73
8192                   22.07
16384                  47.09
32768                  85.87
65536                 149.32
131072                307.47
262144                627.91
