1423982

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      28.84             20.76             17.67             54.28
2                      27.21             20.18             17.16             59.03
4                      28.37             20.61             17.54             55.72
8                      29.60             23.02             19.65             66.52
16                     42.27             26.76             22.95             32.40
32                     43.68             36.67             31.59             77.83
64                     39.63             32.69             28.13             75.33
128                    54.44             34.27             29.50             31.60
256                    65.90             37.30             32.13             10.99
512                    67.50             42.90             36.98             33.45
1024                   93.14             58.50             50.55             31.47
2048                  141.62             89.37             77.37             32.46
4096                  220.58            146.35            126.87             41.49
8192                  417.51            242.31            210.24             16.67
16384                 672.39            401.60            348.61             22.32
32768                1440.74            730.18            634.09              0.00
65536                3465.34           1549.24           1345.62              0.00
131072               6109.94           3221.63           2798.52              0.00
262144              16200.55          13403.60          11644.56             75.98
