3097831

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.71
2                       1.70
4                       1.69
8                       1.69
16                      1.97
32                      1.97
64                      1.98
128                     2.58
256                     2.60
512                     2.75
1024                    2.84
2048                    3.08
4096                    3.72
8192                    4.85
16384                   5.94
32768                   8.27
65536                  12.32
131072                 20.07
262144                 38.88
524288                 70.00
1048576               134.64
2097152               268.21
4194304               589.77
