3097268

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.71
2                       1.72
4                       1.71
8                       1.71
16                      1.98
32                      1.98
64                      1.99
128                     2.59
256                     2.62
512                     2.77
1024                    2.86
2048                    3.09
4096                    3.74
8192                    4.88
16384                   5.97
32768                   8.27
65536                  12.30
131072                 19.97
262144                 38.59
524288                 69.26
1048576               132.93
2097152               263.54
4194304               588.70
