3097691

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.71
2                       1.71
4                       1.71
8                       1.70
16                      1.98
32                      1.98
64                      2.00
128                     2.59
256                     2.61
512                     2.77
1024                    2.86
2048                    3.09
4096                    3.78
8192                    4.88
16384                   6.02
32768                   8.28
65536                  12.40
131072                 20.21
262144                 38.85
524288                 69.86
1048576               134.67
2097152               267.85
4194304               596.05
