3096263

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.71
2                       1.71
4                       1.70
8                       1.70
16                      1.98
32                      1.98
64                      1.99
128                     2.60
256                     2.61
512                     2.78
1024                    2.87
2048                    3.11
4096                    3.78
8192                    4.90
16384                   6.08
32768                   8.40
65536                  12.66
131072                 20.73
262144                 40.12
524288                 72.12
1048576               139.79
2097152               278.30
4194304               609.37
