3097550

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.70
2                       1.69
4                       1.69
8                       1.68
16                      1.95
32                      1.96
64                      1.97
128                     2.56
256                     2.60
512                     2.74
1024                    2.85
2048                    3.07
4096                    3.72
8192                    4.84
16384                   5.97
32768                   8.24
65536                  12.27
131072                 20.03
262144                 38.67
524288                 69.71
1048576               134.51
2097152               268.76
4194304               586.37
