3096408

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.71
2                       1.72
4                       1.71
8                       1.71
16                      1.97
32                      1.98
64                      2.00
128                     2.59
256                     2.61
512                     2.78
1024                    2.87
2048                    3.12
4096                    3.79
8192                    4.91
16384                   6.07
32768                   8.40
65536                  12.62
131072                 20.75
262144                 40.37
524288                 73.34
1048576               141.25
2097152               283.70
4194304               617.34
