3096189

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.72
2                       1.70
4                       1.70
8                       1.70
16                      1.97
32                      1.99
64                      1.99
128                     2.60
256                     2.62
512                     2.77
1024                    2.88
2048                    3.10
4096                    3.74
8192                    4.91
16384                   6.05
32768                   8.38
65536                  12.53
131072                 20.38
262144                 39.57
524288                 71.47
1048576               137.67
2097152               273.60
4194304               602.59
