3096694

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.71
2                       1.71
4                       1.70
8                       1.70
16                      1.97
32                      1.98
64                      1.99
128                     2.59
256                     2.62
512                     2.78
1024                    2.87
2048                    3.12
4096                    3.81
8192                    4.94
16384                   6.11
32768                   8.51
65536                  12.81
131072                 21.00
262144                 40.67
524288                 73.16
1048576               142.11
2097152               284.20
4194304               615.76
