3096549

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.72
2                       1.72
4                       1.72
8                       1.70
16                      1.99
32                      2.00
64                      2.02
128                     2.60
256                     2.62
512                     2.79
1024                    2.88
2048                    3.12
4096                    3.77
8192                    4.93
16384                   6.09
32768                   8.49
65536                  12.67
131072                 20.77
262144                 40.12
524288                 71.67
1048576               137.73
2097152               276.66
4194304               608.16
