3097056

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.71
2                       1.71
4                       1.70
8                       1.70
16                      1.97
32                      1.98
64                      1.99
128                     2.59
256                     2.62
512                     2.77
1024                    2.87
2048                    3.10
4096                    3.78
8192                    4.89
16384                   6.04
32768                   8.34
65536                  12.49
131072                 20.37
262144                 39.21
524288                 70.45
1048576               134.68
2097152               268.33
4194304               578.63
