3097336

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.71
2                       1.70
4                       1.69
8                       1.69
16                      1.96
32                      1.96
64                      1.98
128                     2.58
256                     2.60
512                     2.76
1024                    2.86
2048                    3.08
4096                    3.75
8192                    4.84
16384                   5.97
32768                   8.25
65536                  12.37
131072                 20.18
262144                 38.87
524288                 69.90
1048576               133.70
2097152               267.48
4194304               589.04
