3095754

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.72
2                       1.72
4                       1.71
8                       1.70
16                      1.98
32                      1.99
64                      2.00
128                     2.61
256                     2.63
512                     2.79
1024                    2.88
2048                    3.14
4096                    3.83
8192                    4.93
16384                   6.12
32768                   8.53
65536                  12.87
131072                 21.09
262144                 40.59
524288                 73.43
1048576               142.44
2097152               283.70
4194304               623.35
