3097124

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.70
2                       1.70
4                       1.70
8                       1.69
16                      1.97
32                      1.97
64                      1.98
128                     2.58
256                     2.60
512                     2.76
1024                    2.85
2048                    3.08
4096                    3.76
8192                    4.86
16384                   5.98
32768                   8.29
65536                  12.37
131072                 20.18
262144                 39.14
524288                 69.71
1048576               135.49
2097152               269.93
4194304               597.03
