3097759

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.71
2                       1.70
4                       1.69
8                       1.69
16                      1.96
32                      1.97
64                      1.98
128                     2.59
256                     2.60
512                     2.74
1024                    2.85
2048                    3.09
4096                    3.73
8192                    4.84
16384                   5.94
32768                   8.19
65536                  12.28
131072                 19.94
262144                 38.57
524288                 69.32
1048576               133.41
2097152               264.91
4194304               578.46
