3096985

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.69
2                       1.70
4                       1.68
8                       1.68
16                      1.95
32                      1.95
64                      1.96
128                     2.57
256                     2.58
512                     2.73
1024                    2.83
2048                    3.07
4096                    3.71
8192                    4.83
16384                   5.99
32768                   8.30
65536                  12.46
131072                 20.19
262144                 39.05
524288                 70.27
1048576               135.68
2097152               269.39
4194304               581.38
