3097618

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.70
2                       1.70
4                       1.69
8                       1.68
16                      1.95
32                      1.96
64                      1.97
128                     2.57
256                     2.59
512                     2.74
1024                    2.84
2048                    3.09
4096                    3.76
8192                    4.85
16384                   5.96
32768                   8.20
65536                  12.25
131072                 19.84
262144                 38.48
524288                 69.37
1048576               133.11
2097152               268.42
4194304               587.10
