3097196

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.70
2                       1.71
4                       1.70
8                       1.70
16                      1.97
32                      1.97
64                      1.97
128                     2.57
256                     2.60
512                     2.74
1024                    2.85
2048                    3.08
4096                    3.73
8192                    4.85
16384                   5.95
32768                   8.29
65536                  12.30
131072                 20.03
262144                 38.96
524288                 70.11
1048576               135.40
2097152               266.80
4194304               581.16
