3096623

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.73
2                       1.72
4                       1.72
8                       1.70
16                      1.98
32                      1.99
64                      2.01
128                     2.60
256                     2.62
512                     2.78
1024                    2.88
2048                    3.12
4096                    3.82
8192                    4.92
16384                   6.13
32768                   8.47
65536                  12.73
131072                 20.89
262144                 40.46
524288                 72.81
1048576               140.46
2097152               277.34
4194304               603.30
