1182659

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       3.38              2.03              1.53             11.71
2                       3.41              2.05              1.52             10.25
4                       3.36              2.02              1.49              9.72
8                       3.37              2.03              1.49              9.95
16                      4.07              2.48              1.81             12.23
32                      4.08              2.48              1.84             13.28
64                      4.10              2.48              1.84             12.58
128                     6.01              4.01              3.48             42.59
256                     6.17              4.14              3.53             42.43
512                     6.23              4.16              3.59             42.19
1024                    6.41              4.32              3.74             44.19
2048                    6.81              4.62              4.07             46.32
4096                    8.55              5.83              5.22             47.85
8192                   10.88              7.47              6.70             49.14
16384                  14.50              9.78              8.82             46.37
32768                  21.60             14.27             13.09             44.00
65536                  35.41             23.12             21.41             42.60
131072                 62.47             39.81             37.24             39.15
262144                192.18             89.33             83.89              0.00
