1182601

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       3.44              2.06              1.57             12.70
2                       3.46              2.09              1.53             10.21
4                       3.46              2.09              1.51              9.41
8                       3.40              2.04              1.51              9.99
16                      4.08              2.47              1.85             13.44
32                      4.11              2.48              1.95             16.25
64                      4.10              2.47              1.87             13.20
128                     6.02              4.01              3.52             42.94
256                     6.10              4.09              3.52             43.18
512                     6.22              4.17              3.61             43.20
1024                    6.38              4.32              3.74             44.81
2048                    6.79              4.63              4.06             46.72
4096                    8.68              5.98              5.21             48.13
8192                   10.91              7.51              6.70             49.23
16384                  14.49              9.79              8.90             47.22
32768                  21.62             14.33             13.17             44.67
65536                  35.05             22.75             21.10             41.69
131072                 62.36             39.93             37.20             39.70
262144                191.17             88.66             83.18              0.00
