1182125

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       3.45              2.08              1.56             12.06
2                       3.38              2.02              1.51              9.66
4                       3.36              2.02              1.48             10.01
8                       3.36              2.02              1.48              9.69
16                      4.06              2.48              1.81             12.63
32                      4.08              2.49              1.80             11.63
64                      4.05              2.48              1.82             13.53
128                     5.98              4.01              3.42             42.25
256                     5.97              4.00              3.46             43.30
512                     6.22              4.16              3.60             42.92
1024                    6.39              4.32              3.75             44.65
2048                    6.79              4.62              4.06             46.64
4096                    8.69              5.96              5.20             47.58
8192                   10.94              7.51              6.73             49.06
16384                  14.52              9.78              8.87             46.63
32768                  21.35             14.05             13.01             43.91
65536                  35.47             23.07             21.29             41.78
131072                 62.40             39.94             37.27             39.74
262144                191.26             88.93             83.48              0.00
