1182723

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       3.42              2.08              1.59             15.12
2                       3.45              2.06              1.54              9.93
4                       3.38              2.04              1.53             13.12
8                       3.41              2.06              1.54             12.37
16                      4.08              2.49              1.90             16.31
32                      4.07              2.48              1.91             17.07
64                      4.06              2.48              1.90             16.74
128                     6.00              4.01              3.50             43.10
256                     6.03              4.01              3.53             42.99
512                     6.22              4.17              3.63             43.28
1024                    6.53              4.42              3.76             44.02
2048                    6.95              4.75              4.11             46.57
4096                    8.56              5.83              5.21             47.56
8192                   10.94              7.52              6.72             49.08
16384                  14.71              9.88              8.93             45.87
32768                  21.68             14.36             13.16             44.36
65536                  35.53             23.11             21.44             42.10
131072                 63.11             40.42             37.68             39.81
262144                195.29             90.56             85.03              0.00
