1182067

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       3.45              2.09              1.59             14.35
2                       3.41              2.03              1.57             12.35
4                       3.41              2.04              1.53             10.85
8                       3.40              2.04              1.54             11.98
16                      4.07              2.47              1.90             15.66
32                      4.09              2.47              1.88             13.73
64                      4.08              2.49              1.87             14.72
128                     6.02              4.01              3.48             42.05
256                     6.14              4.06              3.53             41.24
512                     6.29              4.17              3.62             41.37
1024                    6.43              4.32              3.74             43.62
2048                    6.83              4.64              4.09             46.50
4096                    8.66              5.90              5.21             47.03
8192                   10.95              7.50              6.70             48.67
16384                  14.55              9.80              8.89             46.55
32768                  21.72             14.41             13.17             44.51
65536                  35.55             23.24             21.63             43.10
131072                 62.96             40.21             37.62             39.52
262144                194.81             90.46             84.86              0.00
