1182361

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       3.37              2.03              1.53             12.59
2                       3.37              2.03              1.51             11.50
4                       3.36              2.03              1.51             11.69
8                       3.35              2.03              1.49             11.91
16                      4.05              2.48              1.82             13.90
32                      4.06              2.49              1.83             14.36
64                      4.08              2.49              1.88             15.32
128                     6.06              4.07              3.50             43.25
256                     6.11              4.16              3.55             45.19
512                     6.25              4.16              3.58             41.58
1024                    6.38              4.31              3.71             44.25
2048                    6.77              4.61              4.03             46.40
4096                    8.50              5.84              5.16             48.30
8192                   10.88              7.50              6.71             49.68
16384                  14.65              9.88              8.93             46.55
32768                  21.28             14.10             13.04             44.90
65536                  35.13             22.97             21.20             42.65
131072                 62.72             40.24             37.58             40.18
262144                191.79             88.92             83.46              0.00
