1182478

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       3.41              2.05              1.56             13.06
2                       3.41              2.06              1.54             12.37
4                       3.41              2.07              1.54             12.83
8                       3.40              2.06              1.53             11.96
16                      4.07              2.48              1.84             13.74
32                      4.07              2.49              1.84             14.02
64                      4.07              2.48              1.83             13.59
128                     6.03              4.02              3.51             42.77
256                     6.21              4.16              3.55             42.47
512                     6.36              4.28              3.64             42.95
1024                    6.43              4.32              3.78             44.18
2048                    6.94              4.74              4.11             46.35
4096                    8.73              6.00              5.24             47.93
8192                   10.93              7.52              6.73             49.23
16384                  14.63              9.78              8.95             45.83
32768                  21.70             14.47             13.19             45.18
65536                  35.41             23.14             21.41             42.70
131072                 62.89             40.27             37.60             39.84
262144                193.22             90.01             84.51              0.00
