1182301

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       3.43              2.06              1.63             16.01
2                       3.41              2.04              1.58             13.20
4                       3.37              2.04              1.54             13.10
8                       3.37              2.03              1.55             13.59
16                      4.07              2.49              1.89             16.28
32                      4.07              2.49              1.90             16.63
64                      4.07              2.49              1.89             16.16
128                     6.01              4.00              3.49             42.59
256                     6.15              4.12              3.53             42.52
512                     6.33              4.27              3.63             43.10
1024                    6.41              4.31              3.75             43.99
2048                    6.89              4.69              4.07             45.96
4096                    8.65              5.93              5.21             47.70
8192                   10.93              7.51              6.71             48.99
16384                  14.65              9.93              9.01             47.61
32768                  21.54             14.20             13.09             43.92
65536                  35.16             22.95             21.27             42.61
131072                 62.05             39.70             37.11             39.75
262144                191.83             88.84             83.38              0.00
