1183365

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       3.40              2.05              1.56             13.46
2                       3.40              2.03              1.51              9.36
4                       3.39              2.03              1.51             10.06
8                       3.39              2.03              1.50              9.77
16                      4.08              2.47              1.83             12.16
32                      4.09              2.48              1.84             12.00
64                      4.07              2.47              1.85             13.27
128                     6.07              4.01              3.51             41.33
256                     6.27              4.17              3.56             41.09
512                     6.40              4.30              3.63             41.90
1024                    6.45              4.32              3.79             43.67
2048                    6.94              4.72              4.09             45.60
4096                    8.71              5.96              5.22             47.46
8192                   11.12              7.55              6.76             47.04
16384                  14.66              9.79              9.01             45.98
32768                  21.78             14.48             13.22             44.71
65536                  35.59             23.29             21.66             43.20
131072                 62.98             40.38             37.70             40.08
262144                196.21             90.39             84.53              0.00
