1182542

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       3.36              2.04              1.57             15.73
2                       3.35              2.02              1.52             12.23
4                       3.36              2.02              1.51             11.36
8                       3.35              2.02              1.51             11.98
16                      4.05              2.49              1.83             14.44
32                      4.05              2.48              1.83             14.27
64                      4.05              2.48              1.82             13.83
128                     6.00              4.01              3.47             42.60
256                     6.01              4.01              3.50             42.77
512                     6.20              4.16              3.58             42.91
1024                    6.39              4.31              3.73             44.27
2048                    6.81              4.63              4.08             46.67
4096                    8.72              6.00              5.22             48.04
8192                   10.89              7.50              6.70             49.42
16384                  14.70              9.94              8.89             46.37
32768                  21.36             14.19             13.17             45.51
65536                  35.07             22.96             21.27             43.03
131072                 62.19             39.76             37.18             39.68
262144                191.30             89.05             83.60              0.00
