1226435

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      11.70              6.53              5.74              9.83
2                      11.69              6.47              5.65              7.71
4                      11.41              6.42              5.60             10.85
8                      11.18              6.23              5.39              8.23
16                     12.28              7.14              6.27             18.02
32                     14.77              8.53              7.61             17.93
64                     14.79              8.58              7.65             18.84
128                    24.50             12.82             11.62              0.00
256                    24.83             13.07             11.85              0.78
512                    27.74             15.04             13.68              7.19
1024                   32.67             18.96             17.38             21.09
2048                   45.89             28.01             25.89             30.94
4096                   80.11             46.90             43.75             24.09
8192                  144.70             91.30             85.58             37.61
16384                 207.73            152.54            143.31             61.48
32768                 500.36            333.24            313.57             46.70
65536                1050.70            722.39            680.30             51.74
131072               2217.51           1504.98           1417.86             49.75
262144               4537.23           3374.47           3179.53             63.43
