1231208

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      11.64              6.40              5.59              6.08
2                      11.84              6.47              5.63              4.57
4                      11.59              6.35              5.54              5.29
8                      11.57              6.32              5.50              4.56
16                     12.13              6.91              6.09             14.27
32                     15.76              8.68              7.74              8.51
64                     14.81              8.63              7.66             19.32
128                    24.14             12.70             11.51              0.54
256                    24.68             13.09             11.88              2.53
512                    27.03             14.96             13.60             11.25
1024                   32.23             18.71             17.17             21.25
2048                   45.95             27.16             25.15             25.26
4096                   81.52             46.02             42.89             17.23
8192                  146.24             90.70             85.02             34.68
16384                 209.90            156.13            146.68             63.34
32768                 500.56            332.54            312.89             46.30
65536                1062.59            724.06            681.89             50.35
131072               2237.52           1515.03           1427.34             49.38
262144               4459.48           3406.55           3209.89             67.20
