1240725

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      11.72              6.45              5.62              6.28
2                      11.72              6.44              5.62              5.98
4                      11.59              6.39              5.58              6.73
8                      11.63              6.41              5.61              6.89
16                     12.15              7.01              6.18             16.86
32                     14.88              8.66              7.71             19.38
64                     14.85              8.61              7.67             18.68
128                    24.65             12.67             11.44              0.00
256                    25.04             13.00             11.76              0.00
512                    27.78             15.15             13.81              8.48
1024                   33.22             19.36             17.76             22.01
2048                   46.49             28.72             26.57             33.11
4096                   79.21             46.21             43.09             23.43
8192                  142.22             90.23             84.58             38.53
16384                 207.32            152.27            143.02             61.51
32768                 507.13            335.49            315.71             45.63
65536                1049.74            714.75            673.14             50.24
131072               2248.25           1508.16           1420.94             47.92
262144               4837.35           3487.50           3286.25             58.92
