1250245

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      11.61              6.29              5.46              2.51
2                      11.53              6.31              5.47              4.50
4                      11.33              6.23              5.42              5.99
8                      11.36              6.18              5.39              3.98
16                     12.03              6.85              6.05             14.29
32                     14.69              8.55              7.61             19.27
64                     14.54              8.47              7.54             19.38
128                    24.28             12.91             11.71              2.89
256                    24.53             13.02             11.83              2.73
512                    27.31             15.11             13.73             11.13
1024                   33.11             19.51             17.90             24.04
2048                   46.42             28.68             26.50             33.09
4096                   71.83             46.62             43.45             41.97
8192                  143.74             91.77             86.01             39.58
16384                 206.59            152.28            143.04             62.03
32768                 508.08            336.89            317.04             46.00
65536                1057.03            717.18            675.38             49.68
131072               2239.13           1504.60           1417.56             48.18
262144               4572.42           3462.09           3262.39             65.97
