1232795

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      11.99              6.68              5.87              9.50
2                      13.08              6.52              5.72              0.00
4                      11.78              6.57              5.76              9.46
8                      11.60              6.42              5.62              7.79
16                     12.35              7.15              6.31             17.66
32                     15.05              8.81              7.83             20.31
64                     15.03              8.70              7.72             18.01
128                    24.71             12.96             11.73              0.00
256                    25.16             13.24             12.01              0.69
512                    27.76             15.17             13.81              8.79
1024                   33.53             19.71             18.10             23.61
2048                   47.42             29.15             27.00             32.33
4096                   84.32             47.87             44.65             18.36
8192                  147.14             90.57             84.90             33.37
16384                 207.98            151.93            142.71             60.72
32768                 503.01            334.23            314.52             46.34
65536                1086.44            719.68            677.66             45.88
131072               2184.24           1528.75           1440.24             54.49
262144               4740.26           3508.04           3305.47             62.72
