1228024

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      11.60              6.32              5.52              4.41
2                      12.82              6.27              5.48              0.00
4                      11.26              6.25              5.45              8.14
8                      11.19              6.24              5.45              9.34
16                     12.08              6.92              6.09             15.25
32                     14.83              8.72              7.76             21.18
64                     14.56              8.69              7.73             24.08
128                    24.29             12.99             11.82              4.32
256                    25.24             13.67             12.46              7.12
512                    28.00             15.32             13.92              8.93
1024                   32.30             19.03             17.44             23.92
2048                   45.44             27.32             25.28             28.30
4096                   83.87             47.41             44.22             17.53
8192                  145.89             90.80             85.11             35.27
16384                 218.93            156.54            147.07             57.58
32768                 499.54            332.73            313.02             46.71
65536                1042.15            714.09            672.42             51.21
131072               2185.51           1496.39           1409.72             51.12
262144               4618.00           3436.99           3238.49             63.53
