1259769

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      11.55              6.40              5.61              8.16
2                      11.50              6.31              5.52              5.87
4                      11.17              6.26              5.48             10.50
8                      11.34              6.09              5.33              1.51
16                     12.11              7.00              6.18             17.29
32                     14.72              8.69              7.74             22.12
64                     14.55              8.55              7.61             21.15
128                    24.24             12.89             11.69              2.91
256                    24.61             13.15             11.92              3.88
512                    27.68             14.91             13.58              5.89
1024                   32.67             19.33             17.76             24.90
2048                   45.95             28.29             26.20             32.58
4096                   77.14             46.11             42.98             27.80
8192                  145.97             90.69             85.00             34.96
16384                 207.60            154.12            144.78             63.06
32768                 507.99            335.76            315.94             45.49
65536                1076.78            734.36            691.17             50.46
131072               2217.13           1479.95           1394.30             47.13
262144               4832.06           3451.14           3251.82             57.53
