1242309

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      11.70              6.41              5.61              5.85
2                      11.69              6.41              5.62              6.09
4                      11.54              6.34              5.56              6.38
8                      11.31              6.22              5.45              6.64
16                     12.19              6.93              6.11             14.01
32                     14.92              8.66              7.69             18.62
64                     14.83              8.55              7.61             17.51
128                    24.97             13.19             11.97              1.51
256                    25.07             13.09             11.87              0.00
512                    27.54             15.15             13.78             10.08
1024                   32.85             19.30             17.70             23.48
2048                   46.28             28.61             26.48             33.28
4096                   73.00             46.10             42.98             37.43
8192                  148.76             91.11             85.36             32.46
16384                 206.40            151.56            142.37             61.48
32768                 497.89            332.17            312.58             46.98
65536                1054.58            718.77            676.89             50.39
131072               2252.45           1522.29           1434.16             49.09
262144               4516.15           3376.37           3181.26             64.17
