1229621

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      11.61              6.44              5.61              7.80
2                      11.67              6.43              5.57              5.96
4                      11.57              6.38              5.55              6.53
8                      12.17              6.35              5.50              0.00
16                     12.09              6.98              6.15             16.82
32                     14.77              8.59              7.65             19.23
64                     14.78              8.59              7.65             18.97
128                    24.44             13.10             11.89              4.66
256                    24.88             13.33             12.13              4.79
512                    28.11             15.34             13.97              8.59
1024                   34.08             20.09             18.47             24.26
2048                   47.00             28.83             26.70             31.96
4096                   84.27             46.61             43.41             13.25
8192                  145.30             90.91             85.22             36.17
16384                 206.81            153.58            144.28             63.11
32768                 507.67            340.15            320.07             47.66
65536                1041.12            715.57            673.87             51.69
131072               2158.17           1483.39           1397.50             51.72
262144               4821.96           3447.17           3247.95             57.67
