1224850

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      11.56              6.39              5.63              8.20
2                      14.51              6.38              5.59              0.00
4                      11.53              6.42              5.62              9.15
8                      11.59              6.24              5.44              1.89
16                     12.12              6.97              6.15             16.38
32                     14.79              8.62              7.69             19.79
64                     14.75              8.61              7.69             20.15
128                    24.78             12.85             11.65              0.00
256                    25.06             13.22             11.99              1.26
512                    27.56             14.84             13.51              5.82
1024                   32.56             19.34             17.71             25.36
2048                   46.43             27.69             25.57             26.74
4096                   73.11             46.06             42.93             36.99
8192                  133.54             87.57             82.06             43.98
16384                 212.66            154.16            144.83             59.61
32768                 492.12            327.58            308.26             46.62
65536                1027.29            711.50            670.00             52.87
131072               2144.02           1453.33           1369.13             49.55
262144               4460.89           3403.65           3207.08             67.03
