1262940

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      11.77              6.38              5.56              3.01
2                      12.20              6.47              5.62              0.00
4                      11.47              6.41              5.58              9.18
8                      11.25              6.29              5.44              8.76
16                     12.24              7.06              6.20             16.39
32                     14.76              8.53              7.59             17.88
64                     14.84              8.52              7.58             16.65
128                    24.41             12.94             11.69              1.94
256                    25.01             12.99             11.80              0.00
512                    27.50             15.01             13.66              8.56
1024                   33.50             19.99             18.42             26.67
2048                   46.21             28.40             26.28             32.23
4096                   80.90             46.33             43.19             19.97
8192                  146.94             92.41             86.63             37.05
16384                 205.16            150.82            141.67             61.64
32768                 504.70            338.85            318.88             47.99
65536                1061.71            720.73            678.68             49.76
131072               2234.28           1498.53           1411.82             47.89
262144               4800.00           3461.90           3261.98             58.98
