1370411

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      32.52             22.71             19.55             49.81
2                      13.37              7.24              6.12              0.00
4                      12.78              8.80              7.48             46.68
8                      11.89              7.38              6.23             27.69
16                     14.37             10.42              8.88             55.52
32                     18.34              8.42              7.16              0.00
64                     14.96             11.55              9.86             65.44
128                    46.31             23.14             19.94              0.00
256                    33.15             16.46             14.14              0.00
512                    79.69             41.75             36.08              0.00
1024                   68.62             43.71             37.80             34.09
2048                   39.76             25.61             22.07             35.88
4096                   42.47             25.32             21.83             21.45
8192                   40.77             27.18             23.43             42.00
16384                  51.41             33.26             28.64             36.66
32768                  75.42             48.92             42.23             37.25
65536                 122.80             73.42             63.48             22.22
131072                238.11            138.68            120.29             17.34
262144                598.41            296.41            257.51              0.00
