1372015

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.83              9.20              7.77             53.27
2                      19.45             13.24             11.27             44.86
4                      13.10              7.33              6.17              6.53
8                      25.90             19.84             17.00             64.39
16                     19.52             13.21             11.27             44.01
32                     14.40             11.20              9.53             66.42
64                     27.94              8.39              7.10              0.00
128                    44.77             24.23             20.85              1.54
256                    30.02             17.08             14.68             11.92
512                    33.71             19.87             17.10             19.06
1024                   31.37             20.83             17.92             41.22
2048                   50.89             28.84             24.90             11.46
4096                   79.11             41.00             35.46              0.00
8192                   69.96             33.39             28.80              0.00
16384                  64.60             44.85             38.80             49.12
32768                  75.10             46.83             40.50             30.19
65536                 157.51             81.24             70.43              0.00
131072                212.06            135.86            118.10             35.48
262144                739.18            383.36            333.06              0.00
