1370861

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      15.27              9.73              8.29             33.30
2                      20.46             13.67             11.70             42.02
4                      12.53              7.78              6.60             27.94
8                      31.78              8.27              7.02              0.00
16                     14.05             10.07              8.59             53.75
32                     34.14             25.84             22.32             62.79
64                     25.61             13.91             11.93              1.90
128                    36.30             22.73             19.59             30.74
256                    56.27             30.86             26.69              4.79
512                    33.38             15.36             13.20              0.00
1024                   26.72             17.36             14.93             37.28
2048                   29.95             20.67             17.83             48.00
4096                   44.66             26.03             22.45             17.05
8192                   53.81             26.64             22.98              0.00
16384                  64.46             41.21             35.55             34.60
32768                  90.53             49.99             43.27              6.32
65536                 122.86             72.50             62.84             19.85
131072                224.31            127.74            110.84             12.87
262144                652.17            303.87            263.89              0.00
