1370518

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      29.87              9.56              8.11              0.00
2                      23.01              8.06              6.85              0.00
4                      20.14             11.28              9.65              8.16
8                      19.28              7.72              6.55              0.00
16                     31.89             16.88             14.53              0.00
32                     18.18             10.78              9.21             19.57
64                     30.79              9.83              8.38              0.00
128                    24.21             15.05             12.89             28.95
256                    32.64             14.28             12.26              0.00
512                    74.53             44.15             38.25             20.56
1024                   32.26             15.59             13.38              0.00
2048                   33.44             17.52             15.06              0.00
4096                   45.53             24.28             20.92              0.00
8192                   41.50             27.77             23.97             42.72
16384                  53.34             32.95             28.47             28.36
32768                  73.08             47.02             40.69             35.96
65536                 142.03             71.96             62.38              0.00
131072                248.92            149.66            129.90             23.59
262144                721.54            300.83            260.76              0.00
