1369298

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      27.94             15.10             12.90              0.53
2                      59.75             45.30             39.09             63.04
4                      40.71             29.23             25.22             54.51
8                      23.34             15.98             13.72             46.36
16                     19.86              8.22              6.98              0.00
32                     24.73             15.59             13.38             31.64
64                     25.22             11.99             10.25              0.00
128                    27.66             16.10             13.82             16.27
256                    27.40             17.10             14.68             29.82
512                    68.80             23.21             19.97              0.00
1024                  108.85             53.66             46.44              0.00
2048                   49.69             29.87             25.80             23.17
4096                   55.14             26.83             23.15              0.00
8192                   60.94             36.86             31.86             24.40
16384                  50.72             33.26             28.73             39.24
32768                  80.74             47.06             40.47             16.77
65536                 132.01             82.14             71.27             30.03
131072                218.41            122.93            106.64             10.47
262144                591.00            347.93            302.10             19.54
