1371675

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      26.21             12.60             10.76              0.00
2                      12.66              7.59              6.43             21.03
4                      13.46              8.56              7.26             32.62
8                      16.06              8.41              7.09              0.00
16                     28.19             15.68             13.46              7.07
32                     86.31             41.06             35.54              0.00
64                    125.58            106.61             92.50             79.49
128                    51.73             22.40             19.31              0.00
256                    23.09             14.74             12.64             33.92
512                    25.91             17.04             14.65             39.43
1024                   25.40             15.75             13.51             28.58
2048                   35.94             25.63             22.12             53.38
4096                   40.81             25.47             21.96             30.13
8192                   52.63             29.28             25.28              7.65
16384                  51.84             33.46             28.91             36.44
32768                  98.05             47.85             41.29              0.00
65536                 183.45             77.47             67.17              0.00
131072                208.50            124.06            107.65             21.56
262144                645.74            300.71            261.20              0.00
