1986060

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.27
2                       1.27
4                       1.27
8                       1.27
16                      1.27
32                      1.36
64                      1.35
128                     1.37
256                     1.42
512                     1.52
1024                    1.66
2048                    1.97
4096                    2.50
8192                    3.66
16384                   4.56
32768                  14.06
65536                  18.05
131072                 23.57
262144                 34.59
524288                 58.64
1048576               118.67
2097152               218.72
4194304               409.96
