1979521

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.27
2                       1.27
4                       1.26
8                       1.26
16                      1.26
32                      1.36
64                      1.35
128                     1.37
256                     1.41
512                     1.51
1024                    1.65
2048                    1.98
4096                    2.49
8192                    3.64
16384                   4.56
32768                  14.16
65536                  17.97
131072                 23.58
262144                 34.47
524288                 58.72
1048576               119.35
2097152               221.32
4194304               418.54
