1984967

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.27
2                       1.26
4                       1.27
8                       1.27
16                      1.27
32                      1.35
64                      1.40
128                     1.37
256                     1.42
512                     1.51
1024                    1.66
2048                    1.97
4096                    2.49
8192                    3.64
16384                   4.55
32768                  14.15
65536                  18.06
131072                 23.63
262144                 34.52
524288                 58.66
1048576               119.38
2097152               222.82
4194304               415.59
