1980061

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.28
2                       1.27
4                       1.28
8                       1.27
16                      1.28
32                      1.36
64                      1.37
128                     1.39
256                     1.42
512                     1.52
1024                    1.66
2048                    1.97
4096                    2.49
8192                    3.66
16384                   4.57
32768                  14.12
65536                  18.02
131072                 23.53
262144                 34.57
524288                 58.55
1048576               119.20
2097152               221.91
4194304               420.37
