1982252

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.27
2                       1.27
4                       1.26
8                       1.26
16                      1.27
32                      1.35
64                      1.35
128                     1.37
256                     1.42
512                     1.51
1024                    1.65
2048                    1.97
4096                    2.48
8192                    3.64
16384                   4.54
32768                  14.14
65536                  18.00
131072                 23.50
262144                 34.48
524288                 58.62
1048576               119.39
2097152               221.67
4194304               413.76
